CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K02.out.bam,942810,83485,942810.0,941841.4,0.20211321,197.12,0.26464375853538513,0.77939457,0.7250692752593523,0.10230543038613761,0.06882742792367935
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K03.out.bam,1169788,64511,1169788.0,943307.8,0.02637583,861.35,0.8872382044792175,0.93801713,0.1212917891070464,0.0222737952683084,0.18789902329444885
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K04.out.bam,889369,61093,889369.0,946950.8,0.019172132,751.14,0.9255965948104858,0.96272016,0.47305671203906163,0.0836525798505328,0.09637609869241714
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K05.out.bam,544512,113685,544512.0,988495.9,0.097846866,533.65,0.848151445388794,0.85251236,0.4123322811392711,0.22592954109320815,0.12121917307376862
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K06.out.bam,1071202,54268,1071202.0,966371.6,0.097431004,213.4,0.3116397261619568,0.8899674,0.9260207001829951,0.061187546937206884,0.6157724261283875
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K07.out.bam,1145815,76374,1145815.0,970075.1,0.24141729,157.42,0.6001352667808533,0.73611605,0.41416163462139877,0.26405236184102177,0.29757609963417053
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K08.out.bam,1139873,60063,1139873.0,890317.94,0.026621938,317.15,0.5369935035705566,0.9572775,0.43858544395078997,0.6426457383287874,0.5469828844070435
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K09.out.bam,888772,57644,888772.0,986474.25,0.032323778,265.8,0.3954436480998993,0.9519642,0.4521689736236925,0.16015404354219015,0.0607406347990036
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K10.out.bam,1171136,141372,1171136.0,940516.25,0.0705266,366.41,0.038370419293642044,0.91219395,0.9976538389805562,0.12425411030362986,0.04701969400048256
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_K11.out.bam,774350,67621,774350.0,990298.75,0.039388895,301.99,0.3351683020591736,0.94341105,0.532844772631608,0.15508318577808808,0.0747913122177124
