CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts
onefilepercell_JR1166_1_1_B02_and_others_TJQE4:JR1166_1_1_B02.out.bam,925741,101232,925741.0,340950.97
onefilepercell_JR1166_1_1_B02_and_others_TJQE4:JR1166_1_1_B17.out.bam,914092,45989,914092.0,391015.0
onefilepercell_JR1166_1_1_B02_and_others_TJQE4:JR1166_1_1_C07.out.bam,898869,27148,898869.0,354760.06
