cell_name,clonal_group,group_size
JR1166_1_1_L03,,
JR1166_1_1_L04,,
JR1166_1_1_L05,,
JR1166_1_1_L06,,
JR1166_1_1_L07,,
JR1166_1_1_L08,,
JR1166_1_1_L09,,
JR1166_1_1_L10,,
JR1166_1_1_L11,,
JR1166_1_1_L12,,
JR1166_1_1_L13,,
JR1166_1_1_L14,,
JR1166_1_1_L16,,
JR1166_1_1_L17,0,5
JR1166_1_1_L18,,
JR1166_1_1_L19,,
JR1166_1_1_L20,,
JR1166_1_1_L21,,
JR1166_1_1_L22,,
JR1166_1_1_M02,,
JR1166_1_1_M03,,
JR1166_1_1_M05,,
JR1166_1_1_M07,,
JR1166_1_1_M08,,
JR1166_1_1_M09,,
JR1166_1_1_M11,,
JR1166_1_1_M12,,
JR1166_1_1_M13,,
JR1166_1_2_A01,,
JR1166_1_2_A03,,
JR1166_1_2_A05,,
JR1166_1_2_A08,,
JR1166_1_2_B01,,
JR1166_1_2_B07,,
JR1166_1_2_C01,,
JR1166_1_2_C13,,
JR1166_1_2_D01,,
JR1166_1_2_D06,,
JR1166_1_2_F01,,
JR1166_1_2_F04,,
JR1166_1_2_G01,,
JR1166_1_2_H01,,
JR1166_1_2_H04,,
JR1166_1_2_I01,4,2
JR1166_1_2_J01,0,5
JR1166_1_2_J11,,
JR1166_1_2_J14,,
JR1166_1_2_K01,,
JR1166_1_2_K13,2,2
JR1166_1_2_K14,,
JR1166_1_2_L01,,
JR1166_1_2_M01,2,2
JR1166_1_2_N04,,
JR1166_1_2_N06,,
JR1166_1_2_N16,,
JR1166_1_2_O01,,
JR1166_1_2_O07,,
JR1166_1_2_O12,,
JR1166_1_2_P01,,
JR1166_1_2_P02,,
JR1166_1_2_P08,,
JR1227_1_1_A01,,
JR1227_1_1_A02,,
JR1227_1_1_A03,,
JR1227_1_1_A04,,
JR1227_1_1_A06,,
JR1227_1_1_A15,,
JR1227_1_1_A16,11,21
JR1227_1_1_A19,,
JR1227_1_1_B01,,
JR1227_1_1_B03,,
JR1227_1_1_B05,7,7
JR1227_1_1_B06,,
JR1227_1_1_B07,3,2
JR1227_1_1_B09,,
JR1227_1_1_B10,,
JR1227_1_1_B11,,
JR1227_1_1_B12,,
JR1227_1_1_B13,,
JR1227_1_1_B14,,
JR1227_1_1_B15,,
JR1227_1_1_B16,,
JR1227_1_1_B18,,
JR1227_1_1_C02,,
JR1227_1_1_C03,,
JR1227_1_1_C04,,
JR1227_1_1_C05,,
JR1227_1_1_C07,,
JR1227_1_1_C08,,
JR1227_1_1_C09,,
JR1227_1_1_C10,,
JR1227_1_1_C11,,
JR1227_1_1_C12,,
JR1227_1_1_C13,,
JR1227_1_1_C14,,
JR1227_1_1_C15,,
JR1227_1_1_C16,,
JR1227_1_1_C17,,
JR1227_1_1_C18,,
JR1227_1_1_C19,,
JR1227_1_1_D01,,
JR1227_1_1_D02,,
JR1227_1_1_D03,,
JR1227_1_1_D05,,
JR1227_1_1_D06,,
JR1227_1_1_D07,,
JR1227_1_1_D08,,
JR1227_1_1_D09,,
JR1227_1_1_D10,,
JR1227_1_1_D11,,
JR1227_1_1_D12,,
JR1227_1_1_D13,20,2
JR1227_1_1_D14,,
JR1227_1_1_D16,,
JR1227_1_1_D17,,
JR1227_1_1_D18,,
JR1227_1_1_D19,,
JR1227_1_1_E01,,
JR1227_1_1_E02,,
JR1227_1_1_E03,,
JR1227_1_1_E04,,
JR1227_1_1_E06,,
JR1227_1_1_E07,,
JR1227_1_1_E08,,
JR1227_1_1_E09,,
JR1227_1_1_E10,,
JR1227_1_1_E12,16,2
JR1227_1_1_E14,,
JR1227_1_1_E15,,
JR1227_1_1_E16,,
JR1227_1_1_E17,,
JR1227_1_1_E18,,
JR1227_1_1_E19,,
JR1227_1_1_F01,,
JR1227_1_1_F02,,
JR1227_1_1_F03,,
JR1227_1_1_F05,,
JR1227_1_1_F06,,
JR1227_1_1_F07,,
JR1227_1_1_F08,,
JR1227_1_1_F09,13,2
JR1227_1_1_F10,,
JR1227_1_1_F11,,
JR1227_1_1_F13,,
JR1227_1_1_F15,,
JR1227_1_1_F16,,
JR1227_1_1_F17,,
JR1227_1_1_F19,4,15
