CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,S_score,G2M_score,phase,clusters_gradients,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_D12.out.bam,1502814,61536,1502814.0,947972.6,0.17845404,2,2.337928056716919,7.316850185394287,G2M,G2M_score,155.09,0.18156248331069946,0.79519373,0.3523253166691119,0.4843078136297193,0.02432904951274395
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_D13.out.bam,1410868,445720,1410868.0,931360.44,0.5848962,0,0.0,0.0,S,S_score,392.03,0.21119768917560577,0.3543444,0.06733140541592683,0.40206421478337206,0.9582984447479248
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_D14.out.bam,1280401,71729,1280401.0,981653.56,0.2210663,2,1.058311939239502,5.881655216217041,G2M,G2M_score,126.69,0.565464198589325,0.7283601,0.3769530904071488,0.15011757192487898,0.041525281965732574
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_D15.out.bam,1548934,72468,1548934.0,964447.9,0.003751099,2,4.842536926269531,0.0,S,S_score,726.39,0.6939710378646851,0.9797976,0.5492562538957416,0.08199355352506033,0.02951257862150669
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E01.out.bam,1808652,100772,1808652.0,958216.06,0.702401,2,3.6752448081970215,3.015699625015259,S,S_score,74.36,0.4311590790748596,0.24834979,0.18903183663029313,0.6299059515662448,0.0390157625079155
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E02.out.bam,2173930,83475,2173930.0,924325.5,0.408603,2,3.3778905868530273,6.304453611373901,G2M,G2M_score,88.59,0.09001726657152176,0.5740265,0.43376655838149014,0.2621920569946234,0.024851391091942787
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E03.out.bam,1519780,125915,1519780.0,964238.75,0.04693961,1,0.0,-1.6660689115524292,S,S_score,712.76,0.9436002373695374,0.9307677,0.4174154680543401,0.029537482710063182,0.06577455997467041
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E04.out.bam,730358,94750,730358.0,890851.25,0.09312832,1,0.0,-5.438928604125977,S,S_score,258.99,0.03907895088195801,0.85003036,0.6730610221120301,0.12521401356630932,0.18156485259532928
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E05.out.bam,1370425,90671,1370425.0,968457.6,0.12693453,2,4.290175437927246,0.0,S,S_score,264.82,0.22338390350341797,0.85893816,0.2081899102086633,0.34959475923686967,0.051484569907188416
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E06.out.bam,710953,49965,710953.0,978418.6,0.04351741,1,0.0,-5.391958713531494,S,S_score,610.68,0.9169837832450867,0.935208,0.24078860349103526,0.11543852176611175,0.043051283806562424
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E07.out.bam,1196199,113845,1196199.0,877646.4,0.025566876,1,0.0,0.0,S,S_score,319.67,0.6265347599983215,0.96683407,1.0,0.1042296140055767,0.0
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E08.out.bam,1298009,155112,1298009.0,957569.56,0.058710396,1,-2.7798843383789062,0.0,G2M,S_score,211.36,0.2874385118484497,0.90945023,0.7501269704919995,0.06520336598203177,0.026726605370640755
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E09.out.bam,1606157,78106,1606157.0,956154.6,0.4891019,2,2.5995922088623047,6.412482738494873,G2M,G2M_score,176.19,0.36576396226882935,0.46113095,0.23173498359030412,0.3968172042984221,0.03902285173535347
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_E10.out.bam,2071711,81231,2071711.0,972602.2,0.5182719,2,3.3089232444763184,7.388006210327148,G2M,G2M_score,86.53,0.31438931822776794,0.368326,0.18133723939252552,0.5602186216596756,0.04518080875277519
