,logFC,logCPM,F,PValue,Function
TFDP1,4.19493996,4.590598769,13.69711082,0.005621602,The encoded protein functions as part of this complex to control the transcriptional activity of numerous genes involved in cell cycle progression from G1 to S phase.
PRDM15,4.420057231,6.275878767,18.90378119,0.002262667,Sequence-specific DNA-binding transcriptional regulator.
