"","x"
"200_CDKL5",0.893902157953498
"201_CAMK1G",NA
"202_CDK11A",0.254514279869989
"203_NADK",0.258686590483255
"204_TFAP2B",NA
"205_TFAP2D",NA
"206_DLEC1",0.532713683632382
"207_CYTH3",NA
"208_ADAM22",0.266253520083925
"209_SYPL1",0.671554724033622
"210_CYB561",0.460130990574749
"211_SPAG9",0.871310025018743
"212_CELSR3",0.439053397621579
"213_AASS",0.314033137152573
"214_PLEKHG6",0.33881136432274
"215_SS18L2",0.195970500243631
"216_MPND",0.454399358276362
"217_MGST1",0.356833882542162
"218_CRY1",0.822709914961638
"219_PGLYRP1",NA
"220_NFIX",NA
"221_ST3GAL1",0.583491643914918
"222_MMP25",0.439053397621579
"223_IL32",0.703997856155653
"224_PKD1",0.11230672164596
"225_MAPK8IP2",0.135460975224682
"226_MED24",0.461513395420948
"227_RHOBTB2",0.201581070156176
"228_HEATR5B",0.893186749264617
"229_SEC62",0.15177454560087
"230_RPS20",1
"231_CSDE1",0.663626019507909
"232_UBE3C",0.0485640956378455
"233_REV3L",0.0133815983465247
"234_TENM1",NA
"235_PAX7",NA
"236_MASP2",0.439053397621579
"237_IYD",0.448492943117314
"238_FAM76A",0.228747158543832
"239_TRAF3IP3",0.559525652558188
"240_POMT2",0.101157181207669
"241_VTA1",0.141389513756245
"242_MLXIPL",0.619056999234854
"243_BAZ1B",0.666411193211801
"244_RANBP9",0.923208629686813
"245_ETV7",0.552245273821644
"246_SPRTN",0.309914991611854
"247_EEF1AKNMT",1
"248_DYRK4",0.461765371691479
"249_ZNF207",0.670882603160626
"250_UQCRC1",0.591258162620498
"251_STARD3NL",0.284399872585821
"252_CD9",0.296251802847107
"253_HHATL",NA
"254_NCAPD2",0.556323669782685
"255_IFFO1",0.77903723983631
"256_GIPR",0.0991582838720067
"257_PHF7",0.813814825657154
"258_SEMA3G",NA
"259_NISCH",0.193929566822393
"260_STAB1",NA
"261_FUZ",0.652182696885506
"262_SLC6A13",NA
"263_IDS",0.534608065286044
"264_PRSS3",NA
"265_ZNF200",0.0305508749716451
"266_CD4",0.439053397621579
"267_LRRC23",0.389667803530082
"268_BTK",0.740775638288243
"269_HFE",1
"270_SCMH1",0.524515063408199
"271_FYN",0.708189273481787
"272_HIVEP2",0.587212455010764
"273_FMO1",0.591860508040308
"274_ELOA",0.383500320464392
"275_LYPLA2",0.735967351911934
"276_CLCN6",0.299715786160801
"277_MRC2",NA
"278_NME1-NME2",0.532869618830894
"279_SLC6A7",NA
"280_TSPAN9",NA
"281_BTBD7",NA
"282_APBA3",0.985504107802712
"283_MKS1",0.0685604800153003
"284_ABHD5",0.802536344021903
"285_ANOS1",NA
"286_AKAP8L",0.373283366770281
"287_MBTD1",0.577792245761822
"288_UTP18",0.107583258371981
"289_RNF216",0.696282518992602
"290_TTC19",0.0732889383082858
"291_PTBP1",0.149600755924908
"292_DPF1",0.587212455010764
"293_SYT7",NA
"294_LARS2",0.943716030324051
"295_PIK3C2A",0.772309961248879
"296_PLAUR",0.832889340072231
"297_ANLN",0.641686510662354
"298_WIZ",0.897220785366976
"299_RABGAP1",0.949336436068705
"300_DCN",0.858301880005083
"301_QPCTL",0.990520627573988
"302_PPP5C",0.926569618293123
"303_CEP68",0.904561061230865
"304_MAP4K3",0.25799950793505
"305_ZBTB32",0.4045915089543
"306_TYROBP",0.591860508040308
"307_TMEM159",0.00176800674216586
"308_GABRA3",NA
"309_BRCA1",0.388963479842345
"310_ERCC1",0.159261537529568
"311_CD22",0.558024464629179
"312_SEMA3B",0.677076460786837
"313_MBTPS2",0.319068115070551
"314_PRICKLE3",0.037074744110128
"315_LTF",0.591860508040308
"316_EXTL3",0.737450683284162
"317_NR1H4",NA
"318_ELOVL5",0.340156431495759
"319_ALOX5",0.590427162535125
"320_KDM5D",0.124589718340054
"321_CALCOCO1",0.511256964740775
"322_UBR7",0.742329697343996
"323_MAP4K5",0.557435697145655
"324_EHD3",0.0975780722302004
"325_PSMC4",0.481262463602279
"326_MAN2B2",0.432423518425723
"327_SLC7A14",0.459903095669539
"328_CLDN11",0.0957444708741527
"329_SLC25A39",0.750034845769307
"330_MVP",0.876940419270488
"331_NUB1",0.954395495537033
"332_PGM3",0.396801152363643
"333_RWDD2A",0.581356041416498
"334_CLK1",0.137310447569322
"335_POLR3B",0.989713790249252
"336_ANGEL1",0.991454573666733
"337_RNF14",0.181184730599626
