"","x"
"201_CAMK1G",NA
"202_CDK11A",0.370526078750967
"203_NADK",0.584540231510268
"204_TFAP2B",NA
"205_TFAP2D",NA
"206_DLEC1",0.765935451622072
"207_CYTH3",NA
"208_ADAM22",0.754101295002425
"209_SYPL1",0.689619629527781
"210_CYB561",0.745980025965041
"211_SPAG9",0.904204462204853
"212_CELSR3",0.596586953904718
"213_AASS",0.732648964819329
"214_PLEKHG6",0.192561252423664
"215_SS18L2",0.363673356819293
"216_MPND",0.0996160112581205
"217_MGST1",0.668185909990892
"218_CRY1",0.353014661761877
"219_PGLYRP1",NA
"220_NFIX",NA
"221_ST3GAL1",0.550577850097011
"222_MMP25",0.34070814069189
"223_IL32",0.695477218280612
"224_PKD1",0.49238358117074
"225_MAPK8IP2",0.0169707660270637
"226_MED24",0.817554156995533
"227_RHOBTB2",0.227053868246844
"228_HEATR5B",0.564444349904085
"229_SEC62",0.840905575932238
"230_RPS20",0.0158386032370533
"231_CSDE1",0.289744921739926
"232_UBE3C",0.735590529826566
"233_REV3L",0.959632159043201
"234_TENM1",NA
"235_PAX7",NA
"236_MASP2",0.575778525075154
"237_IYD",0.787195812362187
"238_FAM76A",0.901644647949401
"239_TRAF3IP3",0.158250685647425
"240_POMT2",0.722136704052242
"241_VTA1",0.206936770798418
"242_MLXIPL",0.927057838372164
"243_BAZ1B",0.336787228232963
"244_RANBP9",0.743160719239231
"245_ETV7",0.088848711407876
"246_SPRTN",0.973195812513061
"247_EEF1AKNMT",0.405897954139585
"248_DYRK4",0.649187016067879
"249_ZNF207",0.685072987965628
"250_UQCRC1",0.0718988103302515
"251_STARD3NL",0.482776885166117
"252_CD9",0.225502150345605
"253_HHATL",NA
"254_NCAPD2",0.254042452021669
"255_IFFO1",0.130166414658571
"256_GIPR",0.554209094121382
"257_PHF7",0.689619629527781
"258_SEMA3G",NA
"259_NISCH",0.707878853263502
"260_STAB1",NA
"261_FUZ",0.554209094121382
"262_SLC6A13",NA
"263_IDS",0.499649642233405
"264_PRSS3",NA
"265_ZNF200",0.6991971423043
"266_CD4",0.34070814069189
"267_LRRC23",0.960409587132506
"268_BTK",0.170869631965682
"269_HFE",0.943967721631481
"270_SCMH1",0.648636912695017
"271_FYN",0.596586953904718
"272_HIVEP2",0.787136312995144
"273_FMO1",0.509431083384538
"274_ELOA",0.663928408894312
"275_LYPLA2",0.1361095443507
"276_CLCN6",0.5771275566333
"277_MRC2",NA
"278_NME1-NME2",0.0134189269255033
"279_SLC6A7",NA
"280_TSPAN9",NA
"281_BTBD7",NA
"282_APBA3",0.911741712215516
"283_MKS1",0.348697734857249
"284_ABHD5",0.34624130682364
"285_ANOS1",NA
"286_AKAP8L",0.171872038130038
"287_MBTD1",0.910496816265579
"288_UTP18",0.101535665076532
"289_RNF216",0.897969177283624
"290_TTC19",0.683886525177882
"291_PTBP1",0.317914354561189
"292_DPF1",0.754101295002425
"293_SYT7",NA
"294_LARS2",0.466958910439919
"295_PIK3C2A",0.82538505371613
"296_PLAUR",0.787136312995144
"297_ANLN",0.714756031157587
"298_WIZ",0.510998366062957
"299_RABGAP1",0.126727732304687
"300_DCN",0.170138759565363
"301_QPCTL",0.18759577697363
"302_PPP5C",0.817725243260025
"303_CEP68",0.0447367785384358
"304_MAP4K3",0.418032009267842
"305_ZBTB32",0.207197725917147
"306_TYROBP",0.509431083384538
"307_TMEM159",0.691024357582372
"308_GABRA3",NA
"309_BRCA1",0.36278638014484
"310_ERCC1",0.392397844146803
"311_CD22",0.944536240219452
"312_SEMA3B",0.648137891862249
"313_MBTPS2",0.00822052466353857
"314_PRICKLE3",0.948984396655333
"315_LTF",0.509431083384538
"316_EXTL3",0.685722756738287
"317_NR1H4",NA
"318_ELOVL5",0.32511943885904
"319_ALOX5",0.336266806813011
"320_KDM5D",0.366691198925286
"321_CALCOCO1",0.532319723810787
"322_UBR7",0.0958951349323414
"323_MAP4K5",0.92707013361509
"324_EHD3",0.250981008039119
"325_PSMC4",0.168272517434629
"326_MAN2B2",0.923725023148315
"327_SLC7A14",0.445024592306325
"328_CLDN11",0.164143087992716
"329_SLC25A39",0.311269573322079
"330_MVP",0.79829857550663
"331_NUB1",0.904204462204853
"332_PGM3",0.768362492438312
"333_RWDD2A",0.679337580260261
"334_CLK1",0.565345585358532
"335_POLR3B",0.196486438681504
"336_ANGEL1",0.58051096674542
"337_RNF14",0.950211794820154
"338_DNASE1L1",0.870932065876848
"339_DDX11",0.122174618384124
"340_HEBP1",0.305615826742238
"341_GPRC5A",0.150712631252966
"342_MAMLD1",NA
"343_CD6",0.23842184384179
"344_TACC3",0.569903735012659
"345_UFL1",0.282439168087154
"346_POLA2",0.704830747189152
"347_ZC3H3",0.578439890600196
"348_CAPN1",0.00999228661797666
"349_ACPP",0.147858808397429
"350_MDH1",0.3422536844038
"351_SLC30A9",0.417250366435336
"352_MTMR11",0.34070814069189
"353_COX15",0.473073851841533
"354_CCDC88C",0.543322298320537
"355_YAF2",0.450467263320558
"356_ZMYND11",0.580976936925649
"357_WAS",0.0259480665140976
"358_DPEP1",0.0250449192330911
"359_BID",0.224932704395091
"360_MATR3",0.0326417308739109
"361_NPC1L1",0.147858808397429
"362_XYLT2",0.553615585436314
"363_RGPD5",0.4836929541456
"364_STMN4",NA
"365_NUDCD3",0.382303127110258
"366_ISL1",NA
"367_CHDH",0.740876103237456
"368_IL20RA",NA
"369_CLCA1",NA
"370_CLCA4",NA
"371_GLT8D1",0.731214288070942
"372_ATP2C1",0.573417019976923
"373_IGF1",0.314007584838619
"374_SLC38A5",0.00462240504212768
"375_RALBP1",0.162938461080823
"376_RUFY3",0.539440782003296
"377_CNTN1",NA
"378_SLC11A1",0.118433318385909
"379_WWTR1",0.315866507358955
"380_AGPS",0.264589460872447
"381_CXorf56",0.687144405381945
"382_ATP1A2",0.0382756885724808
"383_TTC27",0.733302156895564
"384_ZNF582",0.509431083384538
"385_VSIG2",NA
"386_PHLDB1",0.309696274354531
"387_MARCO",NA
"388_CYP24A1",NA
"389_PRDM11",NA
"390_SYT13",0.443147884056979
"391_SNAI2",NA
"392_CD74",0.221458024161832
"393_HGF",NA
"394_ZRANB1",0.00924159772740385
"395_NCDN",0.885115874494412
"396_ADGRA2",0.940644842344145
"397_ZFP64",1
"398_MNAT1",1
"399_SAMD4A",0.940644842344145
"400_RUNX3",0.735776316209434
"401_MRE11",0.529273975576794
"402_PLEKHB1",NA
"403_SERPINB1",0.974094013359243
