CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A11.out.bam,494876,18495,494876.0,981794.25,0.6210323,2,4305.67,0.9976716637611389,0.10614578,0.0,7.831015279684954e-05,0.024897515773773193
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A12.out.bam,694815,35701,694815.0,953745.1,0.0903945,1,4337.05,0.9948973655700684,0.75979507,0.0,0.004937194013478001,0.21045875549316406
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A13.out.bam,592701,19456,592701.0,912738.8,0.37679794,2,4296.58,0.9982091188430786,0.44854328,0.0,0.00041016846699842716,0.09197878837585449
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A14.out.bam,1022500,231090,1022500.0,961795.94,0.6165298,0,533.18,0.46568819880485535,0.1941785,0.0,0.3303329930935938,0.9665398001670837
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A15.out.bam,1245422,70652,1245422.0,940150.56,0.17565471,1,3949.55,0.9880403876304626,0.67145497,0.0,0.006057299026907147,0.15945464372634888
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B02.out.bam,850333,79596,850333.0,976181.5,0.52318233,1,4032.5,0.9930115342140198,0.19770099,0.0,0.011187288161626096,0.23868238925933838
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B03.out.bam,1910020,83815,1910020.0,942305.1,0.65234435,2,4652.85,0.998849630355835,0.076636426,0.0,0.00015682361466033557,0.06729745864868164
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B04.out.bam,1560109,138216,1560109.0,981047.94,0.028133392,1,2416.1,0.9868480563163757,0.8338853,0.0,0.004521111539393146,0.2575063109397888
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B05.out.bam,1730426,70051,1730426.0,973105.75,0.38653606,2,4557.29,0.9969567656517029,0.52532667,0.0,0.00042421765107863963,0.17253154516220093
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B06.out.bam,1247191,79125,1247191.0,885120.94,0.05076778,2,6097.88,0.9925925135612488,0.7177753,0.0,0.007861434059840605,0.14881294965744019
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B08.out.bam,589717,50014,589717.0,987034.4,0.39954484,1,5660.85,0.9930554628372192,0.09992086,0.0,0.006710344869803928,0.2185998558998108
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B09.out.bam,1497765,346842,1497765.0,915397.7,0.48711646,0,544.44,0.22080059349536896,0.33649954,0.0,0.3746918783522908,0.9476139545440674
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B10.out.bam,998628,41907,998628.0,1005890.75,0.67385143,2,3384.67,0.9975826740264893,0.086799994,0.0,0.00022796694616484213,0.019574105739593506
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B11.out.bam,656968,23330,656968.0,991715.6,0.49899676,2,4594.39,0.9972102642059326,0.3063025,0.0,7.561324424838089e-05,0.05671346187591553
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B12.out.bam,1175292,60635,1175292.0,983101.2,0.029423833,1,3964.71,0.994793713092804,0.85713243,0.0,0.003949412939525538,0.2190449833869934
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B13.out.bam,979578,58470,979578.0,883740.5,0.09337723,1,5084.81,0.9923654198646545,0.80680597,0.0,0.010338390498812236,0.286063551902771
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B14.out.bam,1639709,204543,1639709.0,938800.1,0.57682973,0,559.88,0.4652056097984314,0.25048414,0.0,0.4321928113985779,0.9622759222984314
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B15.out.bam,1683601,46795,1683601.0,971875.6,0.6179963,2,3782.79,0.998618483543396,0.1047399,0.0,2.898010499480416e-05,0.03983587026596069
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C02.out.bam,1630515,78500,1630515.0,960185.0,0.45650783,2,3828.46,0.9976330399513245,0.31297952,0.0,7.86063703503624e-05,0.10816067457199097
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C03.out.bam,2217365,297010,2217365.0,993088.0,0.6050702,0,699.81,0.3524935841560364,0.23386115,0.0,0.3315823657971928,0.9790092706680298
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C04.out.bam,1940240,139345,1940240.0,977104.25,0.47656614,2,3152.36,0.9977209568023682,0.32776794,0.0,0.00021301054796584208,0.08891141414642334
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C05.out.bam,1335758,120454,1335758.0,950117.2,0.41278,2,3995.89,0.9950892925262451,0.24910277,0.0,0.0003903343358738742,0.20206475257873535
