"","CellID","initial_size_spliced","initial_size_unspliced","initial_size","n_counts","velocity_self_transition","louvain","root_cells","end_points","velocity_pseudotime","latent_time","S_score","G2M_score","phase","velocity_length","velocity_confidence","velocity_confidence_transition","Cell","singler","excluded"
"19","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A02.out.bam",1566449,106843,1566449,940124.44,0.23593543,1,0,0.00105579729215483,0.312320530414581,0.273962935075879,1.16298899507044,-0.652150177740836,"S",4585.06,0.907558396708275,0.133709748485615,"1166_1_2_A02","PC",FALSE
"20","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A06.out.bam",1392466,85379,1392466,973120.5,0.20834497,3,0,0.000491082382105445,0.201401650905609,0.0792079400081241,0.615835314849547,-0.269315109596596,"S",5535.08,0.793663676827354,0.237756800141308,"1166_1_2_A06","PB",FALSE
"21","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A07.out.bam",1700139,73353,1700139,980341.5,0.29226923,1,0,0.00102399258964793,0.25481653213501,0.214822378949927,-1.73795801560616,-1.12008376465187,"G1",4451.16,0.907705201127173,0.103079433093064,"1166_1_2_A07","PB",FALSE
"22","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A09.out.bam",837929,66647,837929,971121,0.2994217,0,0,0.397075312549746,0.987936973571777,0.93498100617789,-0.154395862088156,-0.239177655958915,"G1",1550.04,0.737353793987755,0.11704152239316,"1166_1_2_A09","MBC",FALSE
"23","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A10.out.bam",710882,16088,710882,997679.7,0.42080748,3,0,4.25932600384963e-05,0.0917018055915833,0.0293826840859066,0.652706754167742,2.20994858441052,"G2M",8905.08,0.982207228692434,0.0258282932745119,"1166_1_2_A10","PB",FALSE
"24","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A11.out.bam",494876,18495,494876,981794.25,0.32468486,3,0,0.000153271732540728,0.0605103969573975,0.0384251409250128,-0.350236717913063,2.59503356314994,"G2M",8981.74,0.925993709085075,0.0709698082247313,"1166_1_2_A11","PB",FALSE
"25","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A12.out.bam",694815,35701,694815,953745.1,0.22430384,1,0,0.00136469936110122,0.345602452754974,0.274918468477213,-1.10901713387225,-1.33017881410616,"G1",4638.97,0.955448085391667,0.178540328371999,"1166_1_2_A12","Undefined",TRUE
"26","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A13.out.bam",592701,19456,592701,912738.8,0.33303985,3,0,0.000218969932180797,0.0752859711647034,0.0367252314917276,-0.108855612381645,3.05884666442871,"G2M",8918.95,0.900029363139946,0.0648192430930091,"1166_1_2_A13","PB",FALSE
"27","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A14.out.bam",1022500,231090,1022500,961795.94,0.28511578,0,0,0.153159175799402,0.993490278720856,0.93070396733726,-0.125380665960918,-0.457153246209428,"G1",1383.42,0.843414997039023,0.133631711998808,"1166_1_2_A14","Undefined",TRUE
"28","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A15.out.bam",1245422,70652,1245422,940150.56,0.23069316,1,0,0.000974853219069985,0.280869603157043,0.207034938970801,-0.802568326586465,-0.769733672958236,"G1",4486.32,0.903320674287556,0.228511571780575,"1166_1_2_A15","PB",FALSE
"29","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B02.out.bam",850333,79596,850333,976181.5,0.23588715,1,0,0.00133765021628117,0.363580346107483,0.310235278461536,-1.0477327900188,-1.23373122387104,"G1",4471.21,0.948924746031287,0.168664685534857,"1166_1_2_B02","PC",FALSE
"30","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B03.out.bam",1910020,83815,1910020,942305.1,0.31004262,3,0,0.00011333047595855,0.076803982257843,0.029351692425729,1.62410683009935,2.16530209618646,"G2M",8888.95,0.964544027923137,0.125115666409689,"1166_1_2_B03","PB",FALSE
"31","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B04.out.bam",1560109,138216,1560109,981047.94,0.1951248,1,0,0.000826779433246858,0.335401475429535,0.25735408276117,-1.06242189391401,-1.24330490516113,"G1",4580.32,0.891384104064047,0.231258653499495,"1166_1_2_B04","PB",FALSE
"32","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_B05.out.bam",1730426,70051,1730426,973105.75,0.33525306,3,0,0.000213156206621034,0.0722919106483459,0.0342121499040073,0.964874798318614,2.35159882554063,"G2M",8921.82,0.901092548007962,0.0620637926006732,"1166_1_2_B05","PC",FALSE
