CELL,LOCUS,HamClone
1166_1_2_F10,H,431
1166_1_2_F10,K,431
1166_1_2_E10,H,432
1166_1_2_E10,K,432
1124_1_2_L03,H,433
1124_1_2_L03,K,433
1166_1_2_E09,H,434
1166_1_2_E09,K,434
1227_1_2_D03,H,435
1227_1_2_D03,K,435
1227_1_2_K01,H,436
1227_1_2_K01,K,436
1284_1_4_J04,H,437
1284_1_4_J04,K,437
1227_1_2_G03,H,438
1227_1_2_G03,K,438
1227_1_2_G03,L,438
1227_1_3_E02,H,438
1227_1_3_E02,K,438
1227_1_3_E02,L,438
1227_1_1_A18,H,438
1227_1_1_A18,K,438
1227_1_1_A18,L,438
1284_1_5_D04,H,439
1284_1_5_D04,L,439
1284_1_5_D02,H,440
1284_1_5_D02,K,440
1166_1_2_D14,H,441
1166_1_2_D14,K,441
1166_1_2_D14,L,441
1166_1_2_L10,H,442
1166_1_2_L10,K,442
1227_1_2_F01,H,443
1227_1_2_F01,K,443
1284_1_5_F03,H,444
1284_1_5_F03,K,444
1166_1_2_M14,H,445
1166_1_2_M14,K,445
1227_1_3_K01,H,446
1227_1_3_K01,K,446
1166_1_2_K16,H,447
1166_1_2_K16,L,447
1284_1_6_O04,H,448
1284_1_6_O04,L,448
1284_1_5_J01,H,449
1284_1_5_J01,K,449
1284_1_5_J01,L,449
1227_1_2_E06,H,450
1227_1_2_E06,K,450
1284_1_6_D05,H,450
1284_1_6_D05,K,450
1284_1_4_N06,H,451
1284_1_4_N06,K,451
1284_1_6_N01,H,452
1284_1_6_N01,L,452
1227_1_3_L01,H,453
1227_1_3_L01,K,453
1284_1_6_I05,H,454
1284_1_6_I05,L,454
1284_1_3_K02,H,455
1284_1_3_K02,L,455
1227_1_2_I06,H,456
1227_1_2_I06,K,456
1284_1_3_H04,H,457
1284_1_3_H04,K,457
1284_1_3_H04,L,457
1227_1_3_P02,H,458
1227_1_3_P02,K,458
1284_1_4_D05,H,459
1284_1_4_D05,K,459
1284_1_4_G03,H,460
1284_1_4_G03,L,460
0051_2_2_L04,H,461
0051_2_2_L04,K,461
1284_1_4_L02,H,461
1284_1_4_L02,K,461
1284_1_6_G05,H,461
1284_1_6_G05,K,461
1284_1_4_K01,H,462
1284_1_4_K01,K,462
1284_1_6_C05,H,463
1284_1_6_C05,K,463
1284_1_6_N04,H,464
1284_1_6_N04,K,464
1227_2_1_B02,H,465
1227_2_1_B02,K,465
1227_1_1_C06,H,466
1227_1_1_C06,K,466
1227_1_1_J08,H,467
1227_1_1_J08,K,467
1227_2_4_I03,H,468
1227_2_4_I03,K,468
1284_1_6_C01,H,469
1284_1_6_C01,L,469
1284_1_6_A05,H,470
1284_1_6_A05,K,470
1284_1_6_A05,L,470
1284_1_5_C03,H,471
1284_1_5_C03,L,471
1284_1_1_K12,H,472
1284_1_1_K12,K,472
