"","logFCCohen","FDRcorrMannW","topVals","topNames"
"PDK2",-0.0777192815887125,0.974699735235089,"FALSE",NA
"ITGA3",0.312361132473672,0.968658944276057,"FALSE",NA
"ZFX",-0.0874194575704135,0.968658944276057,"FALSE",NA
"LAMP2",0.290873307545555,0.968658944276057,"FALSE",NA
"ITGA2B",0.0651903251641701,0.995137446572239,"FALSE",NA
"ASB4",0.543236843199,0.958860835715885,"FALSE",NA
"GDE1",-0.111034093608083,0.980095087557995,"FALSE",NA
"CRLF1",0.319955305629179,0.968658944276057,"FALSE",NA
"OSBPL7",-0.119691841592502,0.968658944276057,"FALSE",NA
"TMEM98",-0.31286291023977,0.968658944276057,"FALSE",NA
"YBX2",0,NA,"FALSE",NA
"KRT33A",0,NA,"FALSE",NA
"ABCC8",-0.344645184349937,0.968658944276057,"FALSE",NA
"CACNG3",0,NA,"FALSE",NA
"TMEM132A",-0.276232846440929,0.968658944276057,"FALSE",NA
"AP2B1",-0.293980381929519,0.968658944276057,"FALSE",NA
"TAC1",0,NA,"FALSE",NA
"ZNF263",0.116535572679262,0.968658944276057,"FALSE",NA
"CX3CL1",-0.150189830427045,0.968658944276057,"FALSE",NA
"SPATA20",0.0295284492167804,0.995137446572239,"FALSE",NA
"CACNA1G",0,NA,"FALSE",NA
"TNFRSF12A",0.133630620956212,0.968658944276057,"FALSE",NA
"DLX6",0,NA,"FALSE",NA
"MAP3K9",-0.3285052772818,0.968658944276057,"FALSE",NA
"RALA",-0.0681565684192516,0.968658944276057,"FALSE",NA
"BAIAP2L1",0.187527299201675,0.968658944276057,"FALSE",NA
"KDM7A",0.174374894166847,0.968658944276057,"FALSE",NA
"ETV1",0,NA,"FALSE",NA
"AGK",0.0173767521403617,0.995137446572239,"FALSE",NA
"ALDH3B1",0.162938809777227,0.995240495982067,"FALSE",NA
"TTC22",-0.206799635620059,0.968658944276057,"FALSE",NA
"PHTF2",0.347320774751405,0.968658944276057,"FALSE",NA
"CCL26",0,NA,"FALSE",NA
"FARP2",0.138050251918781,0.968658944276057,"FALSE",NA
"USH1C",0,NA,"FALSE",NA
"GGCT",0.329528898026788,0.968658944276057,"FALSE",NA
"DBF4",-0.0119356649383293,0.995137446572239,"FALSE",NA
"TBXA2R",-0.0425188543690696,0.984132326444743,"FALSE",NA
"IFRD1",0.0909370156207906,0.98234770062787,"FALSE",NA
"LGALS14",0,NA,"FALSE",NA
"COX10",0.00283969771373882,0.9968594411252,"FALSE",NA
"GTF2IRD1",-0.0689224508868417,0.974699735235089,"FALSE",NA
"PAF1",-0.201523210496539,0.968658944276057,"FALSE",NA
"VPS41",0.00338786324083554,0.995137446572239,"FALSE",NA
"ARHGAP44",0.0605433361261966,0.974699735235089,"FALSE",NA
"ELAC2",-0.0500554018382277,0.974699735235089,"FALSE",NA
"SCIN",0.186810897134669,0.968658944276057,"FALSE",NA
"ARSD",-0.0837536220340585,1,"FALSE",NA
"PNPLA4",-0.102056681489243,0.974699735235089,"FALSE",NA
"MYH13",0,NA,"FALSE",NA
"ADIPOR2",0.190786088967998,0.968658944276057,"FALSE",NA
"CDKL3",-0.482681885008481,0.870713000150445,"FALSE",NA
"UPP2",0,NA,"FALSE",NA
"PRSS21",0.237383677973988,0.995240495982067,"FALSE",NA
"MARK4",-0.314918624886942,0.968658944276057,"FALSE",NA
"PROM1",0,NA,"FALSE",NA
"CCDC124",-0.0292199207901099,0.974699735235089,"FALSE",NA
"CEACAM21",0.318410514749161,0.968658944276057,"FALSE",NA
"PAFAH1B1",-0.0568767905769225,0.995137446572239,"FALSE",NA
"NOS2",0,NA,"FALSE",NA
"DNAH9",0.232928382948919,0.968658944276057,"FALSE",NA
"KIAA0100",0.454654718127997,0.968658944276057,"FALSE",NA
"SLC13A2",0,NA,"FALSE",NA
"TRAPPC6A",-0.115773464310885,0.980608063359374,"FALSE",NA
"MATK",0,NA,"FALSE",NA
"CEACAM7",0,NA,"FALSE",NA
"CD79B",0.193703056034562,0.968658944276057,"FALSE",NA
"SCN4A",0,NA,"FALSE",NA
"ST7L",0.0486191861538199,0.976018706196534,"FALSE",NA
"TKTL1",0,NA,"FALSE",NA
"PAX6",0.177505703820599,0.968658944276057,"FALSE",NA
"RPUSD1",-0.21318334184764,0.968658944276057,"FALSE",NA
"RHBDF1",0,NA,"FALSE",NA
"LUC7L",-0.0364699412207481,0.995137446572239,"FALSE",NA
"CACNA2D2",0.133630620956212,0.968658944276057,"FALSE",NA
"BAIAP3",0.175095040635923,0.968658944276057,"FALSE",NA
"TSR3",-0.276883779113072,0.968658944276057,"FALSE",NA
"PIGQ",0.0979430251279567,0.987560345638536,"FALSE",NA
"TEAD3",-0.192557895586208,0.968658944276057,"FALSE",NA
"SELE",0,NA,"FALSE",NA
"DNAJC11",-0.12337875482415,0.968658944276057,"FALSE",NA
"FMO3",-0.178704965041002,0.968658944276057,"FALSE",NA
"MYLIP",-0.0586517940734476,0.990209680439689,"FALSE",NA
"NOX1",0,NA,"FALSE",NA
"E2F2",-0.0800028396669124,0.968658944276057,"FALSE",NA
"PSMB1",0.229282134883581,0.987542425119576,"FALSE",NA
"SYN1",0,NA,"FALSE",NA
"JARID2",0.132695880653746,0.968658944276057,"FALSE",NA
"CDKL5",0.0129472411572753,0.981906183068009,"FALSE",NA
"CAMK1G",0,NA,"FALSE",NA
"CDK11A",-0.0733501018199027,0.974699735235089,"FALSE",NA
"NADK",-0.0209638718334744,0.997665963626039,"FALSE",NA
"TFAP2B",0,NA,"FALSE",NA
"TFAP2D",0,NA,"FALSE",NA
"DLEC1",-0.0833518575698187,0.968658944276057,"FALSE",NA
"CYTH3",0,NA,"FALSE",NA
"ADAM22",0.270479416215611,0.968658944276057,"FALSE",NA
"SYPL1",0.204017396775568,0.98583112131285,"FALSE",NA
"CYB561",-0.15711729706011,0.968658944276057,"FALSE",NA
"SPAG9",-0.0398746588991318,0.968658944276057,"FALSE",NA
"CELSR3",0.189835265052813,0.968658944276057,"FALSE",NA
"AASS",0.144534430818005,0.968658944276057,"FALSE",NA
"PLEKHG6",0.231783476776452,0.968658944276057,"FALSE",NA
"SS18L2",0.0744498277142748,0.968658944276057,"FALSE",NA
"MPND",-0.219504115806985,0.968658944276057,"FALSE",NA
"MGST1",0.240843745064263,0.968658944276057,"FALSE",NA
"CRY1",0.0953223873602178,0.968658944276057,"FALSE",NA
"PGLYRP1",0,NA,"FALSE",NA
"NFIX",0,NA,"FALSE",NA
"ST3GAL1",-0.104452626266636,0.968658944276057,"FALSE",NA
"MMP25",0.173096170364184,0.968658944276057,"FALSE",NA
"IL32",-0.295056595840389,0.968658944276057,"FALSE",NA
"PKD1",0.218655842001283,0.968658944276057,"FALSE",NA
"MAPK8IP2",0.356337594076254,0.968658944276057,"FALSE",NA
"MED24",0.00279628117513616,0.995137446572239,"FALSE",NA
"RHOBTB2",-0.221809243973932,0.968658944276057,"FALSE",NA
"HEATR5B",-0.00453907896057389,0.995137446572239,"FALSE",NA
"SEC62",-0.0600846667779152,0.989738172758419,"FALSE",NA
"RPS20",-0.0998104873434743,0.976018706196534,"FALSE",NA
"CSDE1",-0.201577298905762,0.970632619495895,"FALSE",NA
"UBE3C",0.330294721591927,0.968658944276057,"FALSE",NA
"REV3L",0.589343456783401,0.870713000150445,"FALSE",NA
"TENM1",0,NA,"FALSE",NA
"PAX7",0,NA,"FALSE",NA
"MASP2",0.179969086216839,0.968658944276057,"FALSE",NA
"IYD",0.109346018669184,0.974699735235089,"FALSE",NA
"FAM76A",-0.134014831884275,0.968658944276057,"FALSE",NA
"TRAF3IP3",-0.0590159213730169,0.974699735235089,"FALSE",NA
"POMT2",0.367857961885049,0.968658944276057,"FALSE",NA
"VTA1",0.265051223623842,0.968658944276057,"FALSE",NA
"MLXIPL",-0.0147266053614442,0.976018706196534,"FALSE",NA
"BAZ1B",0.0759140854189213,0.974699735235089,"FALSE",NA
"RANBP9",-0.138762280149846,0.968658944276057,"FALSE",NA
"ETV7",0.0959862141265596,0.976018706196534,"FALSE",NA
"SPRTN",0.126378753721132,0.968658944276057,"FALSE",NA
"DYRK4",-0.0147437708201493,0.978421624087045,"FALSE",NA
"ZNF207",0.166349386509705,0.974699735235089,"FALSE",NA
"UQCRC1",0.200724296052508,0.976018706196534,"FALSE",NA
"STARD3NL",0.100472873738367,0.968658944276057,"FALSE",NA
"CD9",0.260174184868407,0.968658944276057,"FALSE",NA
"HHATL",0,NA,"FALSE",NA
"NCAPD2",-0.109800261073695,0.976018706196534,"FALSE",NA
"IFFO1",-0.277311007800934,0.968658944276057,"FALSE",NA
"GIPR",-0.158705116336808,0.968658944276057,"FALSE",NA
"PHF7",-0.0553537425058571,0.974699735235089,"FALSE",NA
"SEMA3G",0,NA,"FALSE",NA
"NISCH",0.193699407692819,0.968658944276057,"FALSE",NA
"STAB1",0,NA,"FALSE",NA
"FUZ",-0.252659553920763,0.968658944276057,"FALSE",NA
"SLC6A13",0,NA,"FALSE",NA
"IDS",0.0202573916055181,0.976018706196534,"FALSE",NA
"PRSS3",0,NA,"FALSE",NA
"ZNF200",-0.349295415787442,0.870713000150445,"FALSE",NA
"CD4",0.186961113473065,0.968658944276057,"FALSE",NA
"LRRC23",-0.160225703514602,0.968658944276057,"FALSE",NA
"BTK",0.0969604230262606,0.978389558281616,"FALSE",NA
"HFE",0.0160887622840731,0.974699735235089,"FALSE",NA
"SCMH1",0.0200922068859226,0.986268914100835,"FALSE",NA
"FYN",-0.0206587352334829,0.968658944276057,"FALSE",NA
"HIVEP2",-0.115859021578649,0.968658944276057,"FALSE",NA
"FMO1",0.133630620956212,0.968658944276057,"FALSE",NA
"LYPLA2",0.0937349260383296,0.995240495982067,"FALSE",NA
"CLCN6",-0.335819739719123,0.968658944276057,"FALSE",NA
"NME1-NME2",0.166088964459527,0.974699735235089,"FALSE",NA
"SLC6A7",0,NA,"FALSE",NA
"TSPAN9",0,NA,"FALSE",NA
"BTBD7",0,NA,"FALSE",NA
"MKS1",0.425717464477583,0.968658944276057,"FALSE",NA
"ABHD5",0.206976976001229,0.968658944276057,"FALSE",NA
"AKAP8L",-0.0236583815549274,0.998236894992996,"FALSE",NA
"MBTD1",-0.293804046141429,0.968658944276057,"FALSE",NA
"UTP18",0.116010241696549,0.970153319565319,"FALSE",NA
"RNF216",0.128685443852342,0.968658944276057,"FALSE",NA
"TTC19",0.22020084529379,0.968658944276057,"FALSE",NA
"PTBP1",0.461312639363395,0.968658944276057,"FALSE",NA
"DPF1",-0.059422476949588,0.968658944276057,"FALSE",NA
"SYT7",0,NA,"FALSE",NA
"LARS2",-0.0629729796110271,0.998236894992996,"FALSE",NA
"PIK3C2A",-0.0916756547994172,0.974699735235089,"FALSE",NA
"PLAUR",0.155207406861714,0.995137446572239,"FALSE",NA
"ANLN",-0.184633121529185,0.968658944276057,"FALSE",NA
"WIZ",-0.0760796320263013,0.974699735235089,"FALSE",NA
"RABGAP1",-0.0209600385840225,0.974699735235089,"FALSE",NA
"DCN",-0.0285541721865889,0.995137446572239,"FALSE",NA
"QPCTL",-0.0357106634530708,0.990660159849682,"FALSE",NA
"PPP5C",-0.107221013235976,0.968658944276057,"FALSE",NA
"CEP68",0.0714284895048235,0.968658944276057,"FALSE",NA
"MAP4K3",0.137848966808545,0.968658944276057,"FALSE",NA
"ZBTB32",0.0415855167491344,0.987950689835475,"FALSE",NA
"TYROBP",0.133630620956212,0.968658944276057,"FALSE",NA
"GABRA3",0,NA,"FALSE",NA
"BRCA1",-0.233681908050495,0.968658944276057,"FALSE",NA
"ERCC1",-0.394832843471641,0.968658944276057,"FALSE",NA
"CD22",0.23312045234729,0.968658944276057,"FALSE",NA
"MBTPS2",0.335440846592431,0.968658944276057,"FALSE",NA
"PRICKLE3",0.237429771563436,0.968658944276057,"FALSE",NA
"LTF",0.133630620956212,0.968658944276057,"FALSE",NA
"EXTL3",-0.156817195846448,0.968658944276057,"FALSE",NA
"NR1H4",0,NA,"FALSE",NA
"ELOVL5",-0.211038375641532,0.968658944276057,"FALSE",NA
"ALOX5",-0.0359520152109814,0.989001872186612,"FALSE",NA
"KDM5D",-0.147245058930102,0.968658944276057,"FALSE",NA
"CALCOCO1",0.13343153824428,0.968658944276057,"FALSE",NA
"UBR7",0.0167814760647914,0.995137446572239,"FALSE",NA
"MAP4K5",-0.284672361812874,0.968658944276057,"FALSE",NA
"EHD3",-0.5359911438539,0.870713000150445,"FALSE",NA
"PSMC4",0.019655311068001,0.968658944276057,"FALSE",NA
"MAN2B2",0.100020336366443,0.974699735235089,"FALSE",NA
"SLC7A14",-0.209034678562301,0.968658944276057,"FALSE",NA
"CLDN11",0.410216950278152,0.968658944276057,"FALSE",NA
"SLC25A39",-0.0324658186066601,0.978389558281616,"FALSE",NA
"MVP",-0.10558711142405,0.974699735235089,"FALSE",NA
"NUB1",-0.0606396480107467,0.98234770062787,"FALSE",NA
"PGM3",0.0413101492339508,0.995137446572239,"FALSE",NA
"RWDD2A",-0.187286626366833,0.968658944276057,"FALSE",NA
"CLK1",0.237431257336942,0.968658944276057,"FALSE",NA
"POLR3B",-0.0900036365731904,0.974699735235089,"FALSE",NA
"ANGEL1",-0.00551498360497373,0.978389558281616,"FALSE",NA
"RNF14",-0.282624427621457,0.968658944276057,"FALSE",NA
"DNASE1L1",-0.124631671314826,0.968658944276057,"FALSE",NA
"DDX11",-0.0194378346996311,0.995137446572239,"FALSE",NA
"HEBP1",0.20994086765219,0.968658944276057,"FALSE",NA
"GPRC5A",-0.0770537661426747,0.968658944276057,"FALSE",NA
"MAMLD1",0,NA,"FALSE",NA
"CD6",-0.238127195201192,0.968658944276057,"FALSE",NA
"TACC3",-0.136851107529775,0.968658944276057,"FALSE",NA
"UFL1",-0.0792999328730546,0.974699735235089,"FALSE",NA
"POLA2",0.0375377158697909,1,"FALSE",NA
"ZC3H3",0.197667924519258,0.968658944276057,"FALSE",NA
"CAPN1",0.0645064075418051,0.974699735235089,"FALSE",NA
"MDH1",-0.230004332095284,0.968658944276057,"FALSE",NA
"SLC30A9",-0.204897100128078,0.968658944276057,"FALSE",NA
"MTMR11",0.185488248118876,0.968658944276057,"FALSE",NA
"COX15",0.137590335804857,0.968658944276057,"FALSE",NA
"CCDC88C",-0.0330750642980706,0.984528312881432,"FALSE",NA
"YAF2",0.381029932635682,0.968658944276057,"FALSE",NA
"ZMYND11",-0.152165443890116,0.968658944276057,"FALSE",NA
"WAS",0.0579246759619098,0.985193078422756,"FALSE",NA
"DPEP1",0.116460354457731,0.968658944276057,"FALSE",NA
"BID",-0.0632300866988284,0.974699735235089,"FALSE",NA
"MATR3",0.113744943034541,0.976018706196534,"FALSE",NA
"NPC1L1",0.133630620956212,0.968658944276057,"FALSE",NA
"XYLT2",-0.0420234795954018,0.995137446572239,"FALSE",NA
"RGPD5",-0.13914222971857,0.968658944276057,"FALSE",NA
"STMN4",0,NA,"FALSE",NA
"NUDCD3",-0.0846126234536766,0.976561571512767,"FALSE",NA
"ISL1",0,NA,"FALSE",NA
"CHDH",-0.387282959967769,0.968658944276057,"FALSE",NA
"IL20RA",0,NA,"FALSE",NA
"CLCA1",0,NA,"FALSE",NA
"CLCA4",0,NA,"FALSE",NA
"GLT8D1",0.0887505769286057,0.968658944276057,"FALSE",NA
"ATP2C1",0.0581921128900434,0.974699735235089,"FALSE",NA
"IGF1",-0.030896376025942,0.974699735235089,"FALSE",NA
"SLC38A5",0.0744013037672859,0.968658944276057,"FALSE",NA
"RALBP1",-0.22839966129413,0.968658944276057,"FALSE",NA
"RUFY3",0.0341229955260404,0.974699735235089,"FALSE",NA
"CNTN1",0,NA,"FALSE",NA
"SLC11A1",0.258643591711812,0.968658944276057,"FALSE",NA
"WWTR1",0.104472224347854,0.995137446572239,"FALSE",NA
"AGPS",0.13804585996546,0.968658944276057,"FALSE",NA
"ATP1A2",-0.287381696938985,0.968658944276057,"FALSE",NA
"TTC27",0.317079866019767,0.968658944276057,"FALSE",NA
"ZNF582",-0.33127011441632,0.870713000150445,"FALSE",NA
"VSIG2",0,NA,"FALSE",NA
"PHLDB1",0.411655715589254,0.968658944276057,"FALSE",NA
"MARCO",0,NA,"FALSE",NA
"CYP24A1",0,NA,"FALSE",NA
"PRDM11",0,NA,"FALSE",NA
"SYT13",0.263154884105067,0.968658944276057,"FALSE",NA
"SNAI2",0,NA,"FALSE",NA
"CD74",-0.0231968194298447,0.995137446572239,"FALSE",NA
"HGF",0,NA,"FALSE",NA
"ZRANB1",-0.0512113393210897,0.998236894992996,"FALSE",NA
"NCDN",-0.361782275631544,0.968658944276057,"FALSE",NA
